 coating x n_core k_core n_shell k_shell lambda
11297290 0.060 53.407 1.443 0.011 1.430 0.009 1000.000
11298384 0.060 125.664 1.486 0.019 1.525 0.009 100.000
11304379 0.060 3.234 1.323 0.083 1.320 0.111 6800.000
11307070 0.060 261.799 1.478 0.072 1.456 0.000 240.000
1130784 0.000 0.673 1.440 0.028 1.405 0.106 4200.000
11310414 0.060 188.496 1.478 0.085 1.474 0.000 200.000
11312250 0.060 5.928 1.399 0.027 1.383 0.109 5300.000
11317494 0.060 10.472 1.464 0.019 1.405 0.000 600.000
11318794 0.060 0.628 1.452 0.018 1.407 0.000 500.000
11320314 0.060 7.285 1.352 0.079 1.310 0.105 6900.000
11328722 0.060 2.094 1.474 0.022 1.400 0.000 900.000
11328788 0.060 0.733 1.476 0.038 1.321 0.161 3000.000
11329857 0.060 9.062 1.440 0.037 1.381 0.102 5200.000
11331107 0.060 1.257 1.718 0.525 1.744 0.204 10000.000
11331686 0.060 146.608 1.459 0.023 1.437 0.000 300.000
11331981 0.060 1.131 1.932 0.376 1.814 0.544 50000.000
11335717 0.060 152.592 1.481 0.024 1.425 0.000 350.000
11343495 0.060 11.310 1.428 0.026 1.377 0.087 5000.000
